region,nationality
Afghanistan,Afghan
Albania,Albanian
Algeria,Algerian
American Samoa,American Samoan
Andorra,Andorran
Angola,Angolan
Anguilla,
Antarctica,
Antigua,Antiguan
Argentina,Argentine
Armenia,Armenian
Aruba,Aruban
Ascension Island,
Australia,Australian
Austria,Austrian
Azerbaijan,Azeri
Azores,
Bahamas,Bahamanian
Bahrain,
Bangladesh,Bangladeshi
Barbados,Barbadian
Belarus,Belarusian
Belgium,Belgian
Belize,
Benin,
Bermuda,Bermudian
Bhutan,
Bolivia,Bolivian
Bonaire,
Bosnia and Herzegovina,Bosnian
Botswana,Botswanan
Brazil,Brazilian
Brunei,
Bulgaria,Bulgarian
Burkina Faso,Burkinabe
Burundi,
Cambodia,Cambodian
Cameroon,Cameroonian
Canada,Canadian
Canary Islands,
Cape Verde,Cape Verdian
Cayman Islands,
Central African Republic,
Chad,
Chagos Archipelago,
Chile,Chilean
China,Chinese
Christmas Island,
Cocos Islands,
Colombia,Colombian
Comoros,
Cook Islands,
Costa Rica,Costa Rican
Croatia,Croatian
Cuba,Cuban
Curacao,
Cyprus,Cypriot
Czech Republic,Czech
Czech Republic,Czechoslovak
Democratic Republic of the Congo,Congolese
Denmark,Danish
Djibouti,
Dominica,
Dominican Republic,Dominican
Ecuador,Ecuadorian
Egypt,Egyptian
England,English
El Salvador,El Salvadoran
Equatorial Guinea,
Eritrea,Eritrean
Estonia,Estonian
Ethiopia,Ethiopian
Falkland Islands,
Faroe Islands,Faroese
Fiji,Fijian
Finland,Finnish
France,French
French Guiana,French Guianese
French Polynesia,Polynesian
French Southern and Antarctic Lands,
Gabon,
Gambia,
Georgia,Georgian
Germany,German
Ghana,Ghanaian
Greece,Greek
Greenland,Greenlandic
Grenada,
Grenadines,
Guadeloupe,
Guam,Guam
Guatemala,Guatemalan
Guernsey,Giernesi
Guinea,Guinean
Guinea-Bissau,
Guyana,Guyanese
Haiti,Haitian
Heard Island,
Honduras,Honduran
Hong Kong,Hong Kong
Hungary,Hungarian
Iceland,Icelandic
India,Indian
Indonesia,Indonesian
Iran,Iranian
Iraq,Iraqi
Ireland,Irish
Isle of Man,Manx
Israel,Israeli
Italy,Italian
Ivory Coast,Ivorian
Jamaica,Jamaican
Japan,Japanese
Jersey,
Jordan,Jordanian
Kazakhstan,Kazakh
Kenya,Kenyan
Kiribati,
Kosovo,
Kuwait,
Kyrgyzstan,Kyrgyz
Laos,Laotian
Latvia,Latvian
Lebanon,Lebanese
Lesotho,
Liberia,Liberian
Libya,Libyan
Liechtenstein,
Lithuania,Lithuanian
Luxembourg,Luxembourgish
Macedonia,
Madagascar,
Madeira Islands,
Malawi,Malawian
Malaysia,Malaysian
Maldives,
Mali,
Malta,Maltese
Marshall Islands,
Martinique,
Mauritania,
Mauritius,Mauritian
Mayotte,
Mexico,Mexican
Micronesia,
Moldova,Moldovan
Monaco,Monégasque
Mongolia,Mongolian
Montenegro,Montenegrin
Montserrat,Montserratian
Morocco,Moroccan
Mozambique,
Myanmar,Burmese
Namibia,Namibian
Nauru,
Nepal,Nepalese
Netherlands,Dutch
Nevis,
New Caledonia,
New Zealand,New Zealand
Nicaragua,Nicaraguan
Niger,
Nigeria,Nigerian
Niue,
Norfolk Island,
North Korea,North Korean
Northern Mariana Islands,
Norway,Norwegian
Oman,Omani
Pakistan,Pakistani
Palau,Palauan
Palestine,Palestinian
Panama,Panamanian
Papua New Guinea,
Paraguay,
Peru,Peruvian
Philippines,Philippine
Pitcairn Islands,
Poland,Polish
Portugal,Portuguese
Puerto Rico,Puerto Rican
Qatar,Qatari
Republic of Congo,
Reunion,
Romania,Romanian
Russia,Russian
Rwanda,Rwandan
Saba,
Saint Barthelemy,
Saint Helena,
Saint Kitts,Kittitian
Saint Lucia,
Saint Martin,
Saint Pierre and Miquelon,
Saint Vincent,
Samoa,
San Marino,
Sao Tome and Principe,
Saudi Arabia,Saudi
Scotland,Scottish
Senegal,Senegalese
Serbia,Serbian
Seychelles,
Siachen Glacier,
Sierra Leone,Sierra Leonean
Singapore,Singaporean
Sint Eustatius,
Sint Maarten,
Slovakia,Slovak
Slovenia,Slovene
Solomon Islands,
Somalia,Somali
South Africa,South African
South Georgia,
South Korea,South Korean
South Sandwich Islands,
South Sudan,South Sudanese
Spain,Spanish
Sri Lanka,Sri Lankan
Sudan,Sudanese
Suriname,Surinamese
Swaziland,
Sweden,Swedish
Switzerland,Swiss
Syria,Syrian
Taiwan,Taiwanese
Tajikistan,Tajik
Tanzania,Tanzanian
Thailand,Thai
Timor-Leste,
Tobago,Trinidadian and Tobagonian
Togo,
Tonga,
Trinidad,Trinidadian and Tobagonian
Tunisia,Tunisian
Turkey,Turkish
Turkmenistan,Turkmen
Turks and Caicos Islands,
Uganda,Ugandan
UK,British
Ukraine,Ukrainian
United Arab Emirates,Emirati
Uruguay,Uruguayan
USA,American
Uzbekistan,Uzbek
Vanuatu,
Vatican,
Venezuela,Venezuelan
Vietnam,Vietnamese
Virgin Islands,
Wales,Welsh
Wallis and Futuna,
Western Sahara,
Yemen,Yemeni
Zambia,Zambian
Zimbabwe,Zimbabwean
